,avg,std
train_score,0.9768682487957859,0.0005955665269183359
mean_cv_score,0.79895329291085,0.0030851780601406755
test_score,-0.1558262580043182,4.544148527975636
run_time,3414.4916310310364,
test_r2,0.8600577049271148,
